carrier,hub,source_location_id,brand,zone,on_time_to_window,sales_channel,has_a_scope,ease_of_delivery,ease_of_scheduling,delivery_weekday,delivery_month,create_to_deliver,create_to_first_offer,create_to_visible,first_offer_to_delivery,hub_to_first_offer,ship_to_hub,visible_to_ship,create_to_ship,nps_score
SSYS,TOLL,160,TEMPUR,Zone 1,On time,TRS,0,4.5,4.0,5,4,3.541666667,2.5,0.791666667,1.041666667,0.083333333,0.833333333,0.791666667,1.0,10.0
SPCG,FKLN,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,6,12,11.41666667,9.583333333,0.375,1.833333333,1.208333333,5.833333333,2.166666667,2.0,9.0
SSYS,IRVN,150,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,7,3,4.5,3.583333333,1.5,0.916666667,1.041666667,0.875,0.166666667,1.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 2,Early,TRS,0,5.0,4.5,3,7,6.625,3.583333333,0.5,3.041666667,1.291666667,0.666666667,1.125,1.0,7.0
SSYS,KNCY,101,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,6,5,3.708333333,2.583333333,0.875,1.125,0.25,0.875,0.583333333,1.0,10.0
SSYS,BRHT,75,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,11,4.583333333,4.583333333,0.625,0.0,1.125,1.875,0.958333333,1.0,10.0
PRNL,RICA,190,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,6,9,8.458333333,5.583333333,0.5,2.875,5.0,0.0,7.833333333,8.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 2,On time,Direct to Consumer,1,5.0,5.0,6,12,25.45833333,7.583333333,2.5,17.875,4.0,0.25,0.833333333,3.0,10.0
NVCP,BREA,175,TEMPUR,Zone 1,On time,Other,0,5.0,5.0,2,9,12.54166667,7.583333333,0.458333333,4.958333333,6.083333333,0.083333333,0.958333333,1.0,10.0
SSYS,ANMO,59,TEMPUR,Zone 2,On time,Direct to Consumer,0,5.0,5.0,7,7,14.45833333,7.583333333,0.75,6.875,2.083333333,1.208333333,3.541666667,4.0,10.0
PRNL,CHIC,75,TEMPUR,Zone 1,On time,TRS,0,2.0,4.0,6,12,4.708333333,4.583333333,0.791666667,0.125,2.333333333,0.458333333,1.0,1.0,5.0
PRNL,CHIC,75,TEMPUR,Zone 1,On time,TRS,0,5.0,4.0,6,11,8.5,5.583333333,0.625,2.916666667,1.25,2.5,1.208333333,1.0,7.0
SPCG,BAKE,175,TEMPUR,Zone 2,Late,Other,1,4.0,4.0,7,8,12.625,12.58333333,0.625,0.041666667,8.083333333,2.916666667,0.958333333,1.0,7.0
PRNL,28,59,TEMPUR,Zone 1,On time,Direct to Consumer,0,4.0,3.5,7,3,18.66666667,6.583333333,0.791666667,12.08333333,3.083333333,0.208333333,2.5,3.0,0.0
NVCP,BREA,175,TEMPUR,Zone 1,On time,TRS,1,5.0,5.0,6,7,21.45833333,5.583333333,0.791666667,15.875,2.083333333,0.166666667,2.541666667,3.0,10.0
PRNL,28,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,4,9,8.5,7.583333333,0.666666667,0.916666667,4.0,0.625,2.291666667,2.0,9.0
SPCG,PENC,81,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,3.5,6,8,10.41666667,7.583333333,0.666666667,2.833333333,4.166666667,0.958333333,1.791666667,2.0,9.0
DRYN,HOUN,170,TEMPUR,Zone 1,On time,Direct to Consumer,0,4.5,5.0,7,4,6.416666667,5.5,1.75,0.916666667,1.041666667,2.125,0.583333333,2.0,10.0
SSYS,ORLN,81,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,4,3,12.70833333,11.58333333,4.583333333,1.125,1.125,3.833333333,2.041666667,6.0,10.0
SSYS,COGA,450,SEALY,Zone 1,On time,Direct to Consumer,0,5.0,1.0,3,1,25.70833333,11.58333333,5.791666667,14.125,5.083333333,0.166666667,0.541666667,6.0,5.0
SSYS,LEXI,75,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,1,10.5,9.583333333,0.541666667,0.916666667,1.291666667,0.875,6.875,7.0,10.0
PRNL,DEVR,170,TEMPUR,Zone 2,Early,Direct to Consumer,0,3.0,1.5,6,2,23.41666667,9.583333333,5.5,13.83333333,3.25,0.0,0.833333333,6.0,0.0
PRNL,ROUS,403,SEALY,Zone 3,Early,Sealy.com,0,3.0,5.0,6,3,13.58333333,10.58333333,4.541666667,3.0,5.166666667,0.125,0.75,5.0,3.0
NDLV,MWAY,81,TEMPUR,Zone 2,Early,Direct to Consumer,1,5.0,5.0,2,5,17.5,14.625,0.791666667,2.875,9.166666667,2.041666667,2.625,3.0,10.0
PRNL,90,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,3,5,15.41666667,8.583333333,0.541666667,6.833333333,4.083333333,0.958333333,3.0,3.0,10.0
NVCP,BREA,175,TEMPUR,Zone 2,Early,Direct to Consumer,0,3.0,4.0,2,3,6.375,3.583333333,0.708333333,2.791666667,2.041666667,0.166666667,0.666666667,1.0,9.0
DRYN,LBCK,150,TEMPUR,Zone 3,On time,Direct to Consumer,1,3.0,1.0,7,2,33.29166667,31.5,0.541666667,1.791666667,23.125,5.625,2.208333333,2.0,8.0
PRNL,DEVR,170,TEMPUR,Zone 3,Early,Direct to Consumer,0,5.0,3.5,5,12,14.25,7.583333333,0.75,6.666666667,2.166666667,0.0,4.666666667,5.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,Direct to Consumer,1,2.0,1.0,7,10,5.625,4.583333333,1.625,1.041666667,1.041666667,0.25,1.666666667,3.0,2.0
SSYS,NAVI,81,TEMPUR,Zone 1,On time,Direct to Consumer,0,1.0,3.0,4,9,20.58333333,8.583333333,0.75,12.0,2.083333333,2.25,3.5,4.0,0.0
PRNL,CHRT,81,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,7,10,5.5,4.583333333,0.666666667,0.916666667,2.208333333,0.416666667,1.291666667,1.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,Direct to Consumer,0,4.0,3.0,7,6,19.41666667,9.583333333,1.541666667,9.833333333,5.166666667,0.916666667,1.958333333,3.0,8.0
PRNL,RIVE,91,TEMPUR,Zone 2,Early,Direct to Consumer,0,5.0,4.0,3,6,7.666666667,7.583333333,0.791666667,0.083333333,5.208333333,0.208333333,1.375,2.0,9.0
PRNL,CHIC,75,TEMPUR,Zone 1,On time,TRS,1,5.0,5.0,3,1,12.5,8.583333333,0.583333333,3.916666667,2.208333333,0.5,5.291666667,5.0,10.0
PRNL,VEGA,160,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,5,8,12.29166667,9.541666667,2.416666667,2.75,2.833333333,3.0,1.291666667,3.0,10.0
NVCP,BREA,175,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,7,8,8.583333333,6.583333333,3.375,2.0,2.083333333,0.125,1.0,4.0,10.0
DRYN,HOUN,150,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,6,2,8.333333333,7.5,0.666666667,0.833333333,1.041666667,0.583333333,5.208333333,5.0,10.0
SSYS,NAVI,81,TEMPUR,Zone 2,On time,Direct to Consumer,0,4.5,4.5,6,10,7.625,6.583333333,0.166666667,1.041666667,1.208333333,2.0,3.208333333,3.0,10.0
PRNL,RLGH,81,TEMPUR,Zone 1,On time,Direct to Consumer,0,3.0,5.0,3,6,14.54166667,14.54166667,0.541666667,0.0,13.08333333,0.583333333,0.333333333,0.0,10.0
NVCP,BREA,175,TEMPUR,Zone 1,Early,TRS,0,5.0,4.5,7,3,10.45833333,7.583333333,1.541666667,2.875,5.083333333,0.0,0.958333333,2.0,10.0
PRNL,RIVE,91,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,7,12,5.333333333,4.583333333,0.708333333,0.75,2.958333333,0.166666667,0.75,1.0,10.0
NVCP,BREA,175,TEMPUR,Zone 1,Early,Costco,0,5.0,5.0,6,1,3.458333333,2.583333333,0.791666667,0.875,1.083333333,0.125,0.583333333,1.0,10.0
PRNL,27,59,TEMPUR,Zone 2,On time,Direct to Consumer,1,3.5,3.5,4,1,15.5,11.58333333,0.625,3.916666667,3.166666667,0.166666667,7.625,8.0,7.0
PRNL,DEVR,170,TEMPUR,Zone 1,On time,Costco,0,5.0,3.5,3,11,7.375,6.583333333,0.458333333,0.791666667,5.166666667,0.0,0.958333333,1.0,9.0
SSYS,ORLN,91,TEMPUR,Zone 1,Early,TRS,0,1.0,1.0,3,3,7.541666667,3.583333333,0.666666667,3.958333333,1.0,0.875,1.041666667,1.0,10.0
PRNL,VEGA,150,TEMPUR,Zone 2,Early,Direct to Consumer,0,5.0,5.0,3,10,9.583333333,9.583333333,2.583333333,0.0,1.208333333,4.833333333,0.958333333,3.0,10.0
SSYS,DAYT,75,TEMPUR,Zone 1,On time,TRS,0,3.5,5.0,4,2,15.5,4.583333333,0.666666667,10.91666667,1.0,0.75,2.166666667,2.0,2.0
PRNL,RIVE,91,TEMPUR,Zone 1,Early,Direct to Consumer,0,2.0,4.0,7,7,6.541666667,4.583333333,1.541666667,1.958333333,2.041666667,0.166666667,0.833333333,2.0,7.0
SSYS,IRVN,430,SEALY,Zone 1,On time,Sam's,0,5.0,5.0,3,3,25.58333333,21.58333333,12.75,4.0,8.166666667,0.041666667,0.625,13.0,10.0
DRYN,AUSN,150,TEMPUR,Zone 1,On time,Direct to Consumer,1,2.5,1.0,3,9,15.41666667,9.5,2.583333333,5.916666667,5.125,0.416666667,1.375,3.0,0.0
SPCG,PENC,81,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,4.5,6,7,9.708333333,8.583333333,1.541666667,1.125,1.166666667,1.166666667,4.708333333,6.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,4,3,13.625,8.583333333,4.333333333,5.041666667,1.166666667,0.958333333,2.125,6.0,10.0
DRYN,HILE,91,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,7,4,8.291666667,5.541666667,0.625,2.75,1.125,0.25,3.541666667,4.0,10.0
PRNL,RIVE,91,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,3,1,14.33333333,11.58333333,1.583333333,2.75,4.041666667,0.125,5.833333333,7.0,10.0
DRYN,HILE,91,TEMPUR,Zone 1,On time,Direct to Consumer,0,3.5,2.0,4,10,20.70833333,7.541666667,4.666666667,13.16666667,1.083333333,0.291666667,1.5,6.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,1,2.0,3.0,2,1,6.625,3.583333333,0.541666667,3.041666667,2.25,0.041666667,0.75,1.0,0.0
PRNL,CHIC,75,TEMPUR,Zone 1,Early,TRS,0,5.0,4.0,6,5,24.375,10.0,2.5,14.375,2.625,0.583333333,4.291666667,6.0,10.0
PRNL,27,59,TEMPUR,Zone 1,On time,TRS,0,4.0,4.0,3,11,12.33333333,11.58333333,6.416666667,0.75,3.083333333,0.208333333,1.875,8.0,10.0
PRNL,RICA,190,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,4,9,7.5,6.583333333,0.708333333,0.916666667,5.0,0.0,6.541666667,7.0,10.0
DRYN,JKVL,91,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,2,2,14.41666667,11.54166667,1.416666667,2.875,3.125,5.0,2.0,3.0,10.0
DRYN,HOUN,150,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,4,6,9.458333333,5.0,0.708333333,4.458333333,0.75,0.666666667,2.875,3.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,TRS,1,2.0,3.5,4,7,16.375,3.583333333,0.75,12.79166667,0.958333333,0.666666667,1.208333333,1.0,8.0
PRNL,ROUS,75,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,3,4,11.45833333,6.583333333,0.791666667,4.875,1.958333333,0.875,2.958333333,3.0,10.0
DRYN,HILE,91,TEMPUR,Zone 2,Late,TRS,0,5.0,5.0,6,3,11.58333333,3.541666667,0.666666667,8.041666667,1.125,0.166666667,1.583333333,2.0,10.0
SPCG,MEMH,150,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,3.0,4,9,20.375,18.54166667,0.666666667,1.833333333,12.0,0.833333333,5.041666667,5.0,10.0
SSYS,BRHT,75,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,6,18.58333333,5.583333333,0.708333333,13.0,1.125,1.041666667,2.708333333,3.0,10.0
PRNL,CHRT,59,TEMPUR,Zone 1,On time,TRS,0,3.0,3.0,4,12,8.5,4.583333333,0.541666667,3.916666667,1.25,0.833333333,1.958333333,2.0,10.0
SPCG,RENV,190,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,4.0,4,10,13.41666667,11.58333333,0.708333333,1.833333333,6.083333333,3.958333333,0.833333333,1.0,10.0
NVCP,BREA,420,SEALY,Zone 2,Early,Other,0,5.0,5.0,3,1,18.29166667,15.58333333,13.95833333,2.708333333,1.208333333,0.083333333,0.333333333,14.0,10.0
SSYS,IRVN,150,TEMPUR,Zone 1,Late,TRS,0,5.0,5.0,3,1,8.75,2.583333333,0.625,6.166666667,1.041666667,0.083333333,0.833333333,1.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,5,3,13.66666667,5.583333333,0.625,8.083333333,0.916666667,1.375,2.666666667,3.0,5.0
DRYN,AUSN,150,TEMPUR,Zone 1,On time,Direct to Consumer,0,4.0,2.0,6,6,11.5,8.5,1.416666667,3.0,1.125,5.458333333,0.5,1.0,10.0
PRNL,RLGH,419,SEALY,Zone 2,On time,S&F.com,1,2.0,1.0,3,9,29.58333333,22.58333333,2.833333333,7.0,8.208333333,0.083333333,11.45833333,14.0,5.0
DRYN,HOUN,150,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,2,2,13.5,7.5,0.916666667,6.0,1.166666667,2.833333333,2.583333333,3.0,10.0
PRNL,RLGH,81,TEMPUR,Zone 2,On time,Other,1,5.0,4.5,3,2,25.5,11.58333333,0.75,13.91666667,7.208333333,0.541666667,3.083333333,3.0,10.0
DRYN,HILE,91,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,8,3.541666667,3.541666667,0.708333333,0.0,1.083333333,0.291666667,1.458333333,2.0,10.0
PRNL,28,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,2,6,6.5,4.583333333,0.541666667,1.916666667,1.125,0.541666667,2.375,2.0,8.0
PRNL,CHIC,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,3,6,13.54166667,6.0,0.666666667,7.541666667,0.708333333,2.541666667,2.083333333,2.0,10.0
SSYS,COGA,81,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,6,5,11.41666667,4.583333333,0.625,6.833333333,2.041666667,1.0,0.916666667,1.0,10.0
PRNL,SANF,160,TEMPUR,Zone 1,Early,Direct to Consumer,0,2.5,2.5,4,12,43.45833333,27.58333333,13.625,15.875,5.125,6.5,2.333333333,15.0,2.0
PRNL,RICA,190,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,6,11.41666667,2.583333333,0.5,8.833333333,2.0,0.0,10.83333333,11.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,4,8,23.54166667,21.58333333,14.58333333,1.958333333,4.125,1.041666667,1.833333333,16.0,10.0
PRNL,RICA,190,TEMPUR,Zone 1,Early,Direct to Consumer,0,4.0,3.0,3,12,13.375,8.583333333,0.333333333,4.791666667,8.0,0.0,12.95833333,13.0,8.0
SSYS,HUNV,150,TEMPUR,Zone 2,Early,Direct to Consumer,1,5.0,3.0,4,5,12.625,10.08333333,0.75,2.541666667,3.604166667,2.604166667,3.125,3.5,0.0
SPCG,BAKE,175,TEMPUR,Zone 2,Late,TRS,0,5.0,5.0,4,12,16.75,16.58333333,2.791666667,0.166666667,6.916666667,2.208333333,4.666666667,7.0,10.0
SPCG,MLPT,190,TEMPUR,Zone 1,On time,TRS,1,4.0,5.0,3,8,18.58333333,17.58333333,0.791666667,1.0,5.333333333,0.708333333,10.75,11.0,8.0
DRYN,HOUN,150,TEMPUR,Zone 1,On time,Direct to Consumer,1,5.0,3.0,3,6,26.33333333,6.5,0.708333333,19.83333333,1.083333333,3.791666667,0.916666667,1.0,8.0
PRNL,27,59,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,4,17.54166667,14.58333333,0.875,2.958333333,11.16666667,0.5,2.041666667,2.0,10.0
DRYN,AUSN,150,TEMPUR,Zone 1,On time,TRS,0,3.5,3.0,7,2,5.333333333,3.5,0.75,1.833333333,1.0,0.541666667,1.208333333,1.0,6.0
NVCP,LKWD,472,SEALY,Zone 2,Early,S&F.com,0,3.5,5.0,2,3,13.45833333,6.583333333,4.583333333,6.875,0.166666667,0.166666667,1.666666667,6.0,8.0
SSYS,COGA,81,TEMPUR,Zone 1,Early,Direct to Consumer,1,5.0,4.0,4,5,15.625,2.583333333,1.166666667,13.04166667,1.166666667,0.041666667,0.208333333,1.0,10.0
SPCG,LITT,150,TEMPUR,Zone 3,On time,Direct to Consumer,0,4.0,3.5,7,12,20.45833333,12.58333333,1.208333333,7.875,9.25,0.958333333,1.166666667,2.0,10.0
SSYS,NAVI,75,TEMPUR,Zone 1,On time,TRS,0,4.5,5.0,3,6,13.75,8.958333333,1.458333333,4.791666667,2.416666667,3.916666667,1.166666667,2.0,10.0
DRYN,HILE,91,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,6,1,4.541666667,3.541666667,0.625,1.0,1.083333333,0.25,1.583333333,2.0,10.0
NVCP,BREA,175,TEMPUR,Zone 1,On time,Direct to Consumer,1,5.0,5.0,6,7,31.33333333,15.58333333,10.70833333,15.75,2.083333333,0.083333333,2.708333333,13.0,10.0
SSYS,TOLL,160,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,3,10.70833333,6.541666667,0.375,4.166666667,4.25,0.666666667,1.25,1.0,10.0
DRYN,GRPR,150,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,5,8,13.58333333,11.5,10.16666667,2.083333333,-1.0,1.041666667,1.291666667,11.0,10.0
SSYS,BRHT,75,TEMPUR,Zone 2,On time,Direct to Consumer,0,5.0,5.0,5,5,15.45833333,8.583333333,0.791666667,6.875,2.125,1.125,4.541666667,5.0,10.0
PRNL,CHIC,75,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,6,8,17.45833333,10.58333333,6.583333333,6.875,1.25,0.458333333,2.291666667,8.0,10.0
PRNL,28,445,SEALY,Zone 1,Early,Alternative Channels,0,5.0,5.0,4,11,16.5,12.58333333,5.0,3.916666667,5.125,0.25,2.208333333,7.0,10.0
DRYN,JKVL,91,TEMPUR,Zone 1,On time,Direct to Consumer,1,3.5,4.0,4,4,8.666666667,4.541666667,0.708333333,4.125,0.916666667,1.375,1.541666667,2.0,8.0
DRYN,HILE,91,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,6,2,4.541666667,3.541666667,0.958333333,1.0,1.083333333,0.25,1.25,2.0,10.0
SPCG,WAKE,75,TEMPUR,Zone 3,On time,Direct to Consumer,0,5.0,5.0,4,1,13.625,6.583333333,0.791666667,7.041666667,2.083333333,2.916666667,0.791666667,1.0,10.0
PRNL,27,59,TEMPUR,Zone 2,Early,TRS,0,5.0,4.0,2,3,6.583333333,6.583333333,0.583333333,0.0,3.041666667,0.625,2.333333333,2.0,10.0
NVCP,BREA,175,TEMPUR,Zone 1,On time,TRS,0,4.5,4.0,2,9,6.625,2.583333333,0.666666667,4.041666667,1.083333333,0.166666667,0.666666667,1.0,9.0
SPCG,ROLE,101,TEMPUR,Zone 1,Late,Direct to Consumer,0,3.5,4.0,3,11,18.66666667,18.58333333,6.375,0.083333333,8.291666667,2.791666667,1.125,7.0,7.0
SSYS,DAYT,59,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,4,1,28.41666667,23.58333333,12.66666667,4.833333333,2.125,6.833333333,1.958333333,14.0,8.0
DRYN,SANA,160,TEMPUR,Zone 2,On time,TRS,0,4.5,1.0,5,6,20.70833333,18.5,13.45833333,2.208333333,1.0,3.916666667,0.125,13.0,6.0
NVCP,BREA,160,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,5,1,11.41666667,10.58333333,4.666666667,0.833333333,1.0,1.0,3.916666667,8.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 2,On time,Direct to Consumer,0,5.0,5.0,4,9,15.375,8.583333333,1.416666667,6.791666667,2.291666667,2.708333333,2.166666667,3.0,10.0
SPCG,LITT,430,SEALY,Zone 1,Early,Direct to Consumer,0,5.0,5.0,5,2,17.375,10.58333333,5.333333333,6.791666667,3.041666667,0.416666667,1.791666667,7.0,10.0
DRYN,HILE,91,TEMPUR,Zone 2,On time,TRS,0,3.0,5.0,4,12,9.5,3.541666667,0.875,5.958333333,1.125,0.25,1.291666667,2.0,5.0
PRNL,27,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,6,9,16.33333333,7.583333333,0.791666667,8.75,4.916666667,0.75,1.125,1.0,10.0
SPCG,MLPT,190,TEMPUR,Zone 1,Late,Costco,1,4.5,3.0,6,8,18.58333333,14.58333333,0.541666667,4.0,5.333333333,0.75,7.958333333,8.0,5.0
SPCG,TELF,59,TEMPUR,Zone 3,On time,Direct to Consumer,0,5.0,5.0,3,4,19.375,6.583333333,1.708333333,12.79166667,1.041666667,1.083333333,2.75,4.0,10.0
PRNL,CHAN,160,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,2,1,10.5,8.583333333,3.708333333,1.916666667,4.083333333,0.083333333,0.708333333,4.0,10.0
SSYS,ORLN,91,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,3.5,3,4,11.5,6.583333333,0.791666667,4.916666667,-0.708333333,2.625,3.875,4.0,10.0
NVCP,BREA,175,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,4,9,8.541666667,3.583333333,0.666666667,4.958333333,2.083333333,0.0,0.833333333,1.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,6,10.41666667,4.583333333,1.541666667,5.833333333,1.916666667,0.291666667,0.833333333,2.0,10.0
SSYS,PLFD,75,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,4,9,7.583333333,3.625,0.916666667,3.958333333,1.25,0.666666667,0.791666667,1.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,0,2.5,4.0,5,12,20.58333333,15.58333333,11.625,5.0,1.916666667,0.291666667,1.75,13.0,5.0
SSYS,DAYT,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,5,10,13.45833333,8.583333333,0.708333333,4.875,1.0,3.083333333,3.791666667,4.0,10.0
SPCG,MEMH,150,TEMPUR,Zone 1,On time,Sam's,0,5.0,5.0,5,1,11.54166667,10.54166667,1.166666667,1.0,0.958333333,6.666666667,1.75,2.0,9.0
DRYN,SANA,150,TEMPUR,Zone 3,On time,Direct to Consumer,0,5.0,4.5,4,11,15.33333333,2.5,0.458333333,12.83333333,1.125,0.416666667,0.5,0.0,10.0
PRNL,ROUS,75,TEMPUR,Zone 3,Early,Direct to Consumer,0,3.0,2.0,4,12,16.25,10.58333333,1.166666667,5.666666667,2.208333333,5.541666667,1.666666667,2.0,2.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,Direct to Consumer,0,4.0,5.0,3,10,7.583333333,4.583333333,0.75,3.0,2.041666667,0.25,1.541666667,2.0,10.0
PRNL,VEGA,160,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,2,2,14.45833333,9.541666667,0.583333333,4.916666667,5.125,2.75,1.083333333,1.0,9.0
SPCG,BAKE,175,TEMPUR,Zone 2,Late,Direct to Consumer,0,5.0,2.0,4,8,12.66666667,12.58333333,0.875,0.083333333,5.083333333,2.916666667,3.708333333,4.0,10.0
DRYN,HILE,91,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,7,10,4.5,2.541666667,0.625,1.958333333,0.958333333,0.291666667,0.666666667,1.0,10.0
SPCG,FKLN,59,TEMPUR,Zone 1,Late,Direct to Consumer,0,5.0,5.0,4,4,14.5,9.583333333,0.708333333,4.916666667,3.208333333,0.875,4.791666667,5.0,10.0
PRNL,ROUS,403,SEALY,Zone 1,Early,Direct to Consumer,0,5.0,5.0,7,2,11.29166667,9.583333333,6.708333333,1.708333333,2.083333333,0.25,0.541666667,7.0,10.0
SSYS,BRHT,75,TEMPUR,Zone 1,Late,TRS,0,5.0,5.0,7,2,12.58333333,11.58333333,0.75,1.0,3.041666667,0.541666667,7.25,8.0,10.0
PRNL,CHIC,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,6,7,3.583333333,3.583333333,0.666666667,0.0,1.083333333,0.958333333,0.875,1.0,9.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,3,6,12.45833333,5.583333333,0.583333333,6.875,4.125,0.5,0.375,0.0,0.0
NVCP,BREA,175,TEMPUR,Zone 2,On time,Direct to Consumer,0,5.0,5.0,3,3,14.54166667,9.583333333,6.708333333,4.958333333,2.083333333,0.125,0.666666667,7.0,10.0
SSYS,BRHT,75,TEMPUR,Zone 3,On time,Direct to Consumer,1,1.5,1.0,4,6,16.625,5.583333333,0.5,11.04166667,1.125,1.041666667,2.916666667,3.0,0.0
SSYS,ORLN,81,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,7,4,12.70833333,9.583333333,1.333333333,3.125,1.125,3.958333333,3.166666667,4.0,10.0
SPCG,FKLN,59,TEMPUR,Zone 2,On time,Direct to Consumer,0,5.0,5.0,6,8,13.5,7.583333333,0.75,5.916666667,2.208333333,1.0,3.625,4.0,9.0
PRNL,27,59,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,6,5,8.541666667,7.583333333,0.541666667,0.958333333,6.208333333,0.375,0.458333333,1.0,10.0
SSYS,PLFD,101,TEMPUR,Zone 1,Early,TRS,0,5.0,4.0,4,1,30.5,18.625,11.75,11.875,2.083333333,2.083333333,2.708333333,14.0,10.0
PRNL,RLGH,81,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,6,12,11.70833333,4.583333333,0.791666667,7.125,2.208333333,0.375,1.208333333,2.0,10.0
PRNL,ROUS,75,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,6,12,10.54166667,9.583333333,1.375,0.958333333,2.208333333,4.083333333,1.916666667,3.0,10.0
PRNL,CHRT,81,TEMPUR,Zone 2,Early,Direct to Consumer,0,3.5,1.0,3,1,8.458333333,4.583333333,0.375,3.875,3.166666667,0.5,0.541666667,0.0,6.0
NVCP,RLNJ,44,SEALY,Zone 1,On time,Other,1,4.0,4.0,7,7,16.33333333,13.58333333,5.5,2.75,1.583333333,1.0,5.5,11.0,9.0
PRNL,OVER,101,TEMPUR,Zone 1,On time,TRS,0,4.5,4.0,3,11,26.625,6.625,0.375,20.0,1.208333333,5.0,0.041666667,0.0,8.0
NDLV,TLOK,150,TEMPUR,Zone 1,Late,Costco,0,4.0,4.5,6,6,17.625,15.66666667,0.541666667,1.958333333,7.208333333,4.791666667,3.125,3.0,8.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,TRS,0,5.0,4.5,5,10,24.33333333,4.583333333,0.75,19.75,0.875,1.333333333,1.625,2.0,8.0
